,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0, China ,"80,761", +26 ," 3,136 ",+17 ,"60,113 "," 17,512 ","4,794 ",56.1
1, Italy ,"9,172", , 463 , ,724 ," 7,985 ",733 ,151.7
2, Iran ,"8,042", +881 , 291 ,+54 ,"2,731 "," 5,020 ", ,95.7
3, S. Korea ,"7,513", +35 , 54 ,+1 ,247 ," 7,212 ",54 ,146.5
4, Spain ,"1,646", +415 , 35 ,+5 ,32 ," 1,579 ",11 ,35.2
5, France ,"1,412", , 30 , ,12 ," 1,370 ",66 ,21.6
6, Germany ,"1,307", +83 , 2 , ,18 ," 1,287 ",9 ,15.6
7, USA ,729, +25 , 27 ,+1 ,15 , 687 ,8 ,2.2
8, Diamond Princess ,696, , 7 , ,245 , 444 ,32 ,
9, Japan ,543, +13 , 10 ,+1 ,102 , 431 ,31 ,4.3
10, Switzerland ,497, +123 , 3 ,+1 ,3 , 491 , ,57.4
11, Netherlands ,382, +61 , 4 , , , 378 ,1 ,22.3
12, Sweden ,325, +65 , , ,1 , 324 ,1 ,32.2
13, UK ,321, , 6 ,+1 ,18 , 297 , ,4.7
14, Belgium ,267, +28 , , ,1 , 266 ,2 ,23.0
15, Norway ,252, +25 , , ,1 , 251 , ,46.5
16, Singapore ,166, +6 , , ,93 , 73 ,10 ,28.4
17, Austria ,157, +26 , , ,2 , 155 ,1 ,17.4
18, Denmark ,156, +66 , , ,1 , 155 , ,26.9
19, Malaysia ,129, +12 , , ,24 , 105 ,2 ,4.0
20, Hong Kong ,116, , 3 , ,59 , 54 ,6 ,15.5
21, Bahrain ,110, +1 , , ,22 , 88 , ,64.6
22, Australia ,103, +10 , 3 , ,22 , 78 ,1 ,4.0
23, Greece ,89, +5 , , , , 89 ,1 ,8.5
24, Canada ,77, , 1 , ,8 , 68 ,1 ,2.0
25, UAE ,74, +15 , , ,12 , 62 ,2 ,7.5
26, Iraq ,71, , 7 , ,15 , 49 , ,1.8
27, Iceland ,69, +4 , , ,1 , 68 , ,
